Wall time,Step,Value
1742501413.5157595,1,0.2508961260318756
1742501419.3000891,2,0.25702181458473206
1742501425.015059,3,0.2640742361545563
1742501430.7482774,4,0.26615163683891296
1742501436.4317486,5,0.2659027874469757
1742501442.165096,6,0.2710198163986206
1742501447.889994,7,0.27706387639045715
1742501453.6316364,8,0.2812970280647278
1742501459.3736925,9,0.29618364572525024
1742501465.1002417,10,0.31593501567840576
1742501470.835593,11,0.33980080485343933
1742501476.5920377,12,0.357163667678833
1742501482.329723,13,0.37260928750038147
1742501488.097957,14,0.38277918100357056
1742501493.85979,15,0.3999357223510742
1742501499.6225739,16,0.40940529108047485
1742501505.3846285,17,0.4232887029647827
1742501511.170252,18,0.43284279108047485
1742501516.910928,19,0.4453173577785492
1742501522.694655,20,0.4555750787258148
1742501528.4752576,21,0.4571998417377472
1742501534.3623204,22,0.4699663519859314
1742501540.183319,23,0.46966543793678284
1742501545.9734476,24,0.47328558564186096
1742501551.755111,25,0.48280027508735657
1742501557.5760252,26,0.48986339569091797
1742501563.3136837,27,0.49126875400543213
1742501569.1156905,28,0.49498412013053894
1742501574.9084954,29,0.4982296824455261
1742501580.7491517,30,0.49885761737823486
1742501586.5530276,31,0.5070339441299438
1742501592.32995,32,0.5122400522232056
1742501598.0926785,33,0.5119463205337524
1742501603.8701146,34,0.5153942704200745
1742501609.6542013,35,0.5170561075210571
1742501615.4566545,36,0.5241497159004211
1742501621.2758088,37,0.5208942890167236
1742501627.0699244,38,0.5260562896728516
1742501632.8873997,39,0.525658905506134
1742501638.71261,40,0.5300954580307007
1742501644.4567554,41,0.532810389995575
1742501650.2782316,42,0.5352540612220764
1742501656.0796878,43,0.5401146411895752
1742501661.8897219,44,0.5422593355178833
1742501667.650849,45,0.538924515247345
1742501673.4857664,46,0.538565456867218
1742501679.289284,47,0.5420717597007751
1742501685.0758183,48,0.5463205575942993
1742501690.9532835,49,0.5492845177650452
1742501696.7501616,50,0.5493053793907166
1742501702.5634909,51,0.5492036938667297
1742501708.33788,52,0.5522770285606384
1742501714.0834398,53,0.5535534024238586
1742501719.9240413,54,0.5577682256698608
1742501725.7328765,55,0.558830738067627
1742501731.539527,56,0.5576574206352234
1742501737.3186514,57,0.5602832436561584
1742501743.1142063,58,0.5572142004966736
1742501749.2322643,59,0.5642350912094116
1742501755.174491,60,0.5637659430503845
1742501761.0040417,61,0.5656017661094666
1742501766.8378348,62,0.5641974806785583
1742501772.7231808,63,0.5640792846679688
1742501778.5935462,64,0.5707180500030518
1742501784.4596133,65,0.567298412322998
1742501790.2954328,66,0.5692929029464722
1742501796.0934267,67,0.5653311610221863
1742501801.9711344,68,0.5668318271636963
1742501807.7772498,69,0.5709542632102966
1742501813.6035109,70,0.5719436407089233
1742501819.4301767,71,0.5714203715324402
1742501825.298091,72,0.5725306272506714
1742501831.1440387,73,0.5726119875907898
1742501836.9661572,74,0.5729021430015564
1742501842.8169432,75,0.5744900107383728
1742501848.6423924,76,0.5758602619171143
1742501854.453922,77,0.5691501498222351
