Wall time,Step,Value
1742515179.1194034,18,0.5642222762107849
1742515179.6907277,47,0.2993418872356415
1742515180.0037882,62,0.27477535605430603
1742515180.5378067,89,0.2316334843635559
1742515180.815996,103,0.21254995465278625
1742515180.8928137,107,0.22132274508476257
1742515181.323075,128,0.2183564007282257
1742515182.0238047,164,0.21106061339378357
1742515182.1797073,172,0.22924157977104187
1742515183.567852,244,0.21472015976905823
1742515183.8663917,259,0.22226449847221375
1742515184.3114696,282,0.18424129486083984
1742515185.0399985,319,0.19739386439323425
1742515186.362301,386,0.18493273854255676
1742515186.6761107,402,0.17000241577625275
1742515186.92625,415,0.18640343844890594
1742515187.3489492,437,0.17664194107055664
1742515187.9006479,465,0.17822767794132233
1742515188.0993857,475,0.15831132233142853
1742515188.2204716,481,0.15913861989974976
1742515188.807042,510,0.17055663466453552
1742515189.265889,533,0.18566513061523438
1742515189.3598952,538,0.16561228036880493
1742515189.4028006,540,0.15452468395233154
1742515296.9632764,556,0.15592500567436218
1742515297.7578366,596,0.15086588263511658
1742515298.5822573,637,0.1630861610174179
1742515298.7040255,643,0.15178282558918
1742515298.7255952,644,0.1532176285982132
1742515299.0037591,658,0.15830564498901367
1742515299.3367367,675,0.15859822928905487
1742515301.0955555,764,0.14335453510284424
1742515301.3128204,775,0.15486550331115723
1742515301.8869932,804,0.15829455852508545
1742515302.9312408,857,0.15119491517543793
1742515303.109072,866,0.1264658421278
1742515303.4993727,886,0.1372147649526596
1742515304.6111228,942,0.13980573415756226
1742515306.1244743,1015,0.13209140300750732
1742515306.351351,1026,0.1307273954153061
1742515306.5711358,1037,0.13777270913124084
1742515306.9432325,1056,0.1389133632183075
1742515307.2264018,1071,0.12395749986171722
1742515415.5225613,1111,0.13807037472724915
1742515415.7917845,1125,0.1238388940691948
1742515415.937084,1132,0.12354138493537903
1742515416.333059,1152,0.12319980561733246
1742515416.5853233,1164,0.1375829577445984
1742515416.8216147,1176,0.1412687450647354
1742515416.9777033,1184,0.12821979820728302
1742515417.6509082,1218,0.13708510994911194
1742515418.332687,1252,0.13550487160682678
1742515418.3733819,1254,0.12994436919689178
1742515418.6367564,1267,0.12390445172786713
1742515418.716471,1271,0.12107105553150177
1742515420.213623,1345,0.13129113614559174
1742515420.8484297,1376,0.12335076928138733
1742515421.6931562,1417,0.13459542393684387
1742515422.507189,1457,0.11970898509025574
